x0			x1			b			w0			w1			wb			a			y			z			
0.00		0.00		1.00		0.00		0.00		0.00		0.00		0.00		1.00		
0.00		1.00		1.00		0.00		0.00		0.10		0.10		0.00		1.00		
1.00		0.00		1.00		0.00		0.10		0.20		0.20		0.00		1.00		
1.00		1.00		1.00		0.10		0.10		0.30		0.50		0.00		0.00		
0.00		0.00		1.00		0.10		0.10		0.30		0.30		0.00		1.00		
0.00		1.00		1.00		0.10		0.10		0.40		0.50		0.00		1.00		
1.00		0.00		1.00		0.10		0.20		0.50		0.60		1.00		1.00		
1.00		1.00		1.00		0.10		0.20		0.50		0.80		1.00		0.00		
0.00		0.00		1.00		0.00		0.10		0.40		0.40		0.00		1.00		
0.00		1.00		1.00		0.00		0.10		0.50		0.60		1.00		1.00		
1.00		0.00		1.00		0.00		0.10		0.50		0.50		0.00		1.00		
1.00		1.00		1.00		0.10		0.10		0.60		0.80		1.00		0.00		
0.00		0.00		1.00		0.00		0.00		0.50		0.50		0.00		1.00		
0.00		1.00		1.00		0.00		0.00		0.60		0.60		1.00		1.00		
1.00		0.00		1.00		0.00		0.00		0.60		0.60		1.00		1.00		
1.00		1.00		1.00		0.00		0.00		0.60		0.60		1.00		0.00		
0.00		0.00		1.00		-0.10		-0.10		0.50		0.50		0.00		1.00		
0.00		1.00		1.00		-0.10		-0.10		0.60		0.50		0.00		1.00		
1.00		0.00		1.00		-0.10		0.00		0.70		0.60		1.00		1.00		
1.00		1.00		1.00		-0.10		0.00		0.70		0.60		1.00		0.00		
0.00		0.00		1.00		-0.20		-0.10		0.60		0.60		1.00		1.00		
0.00		1.00		1.00		-0.20		-0.10		0.60		0.50		0.00		1.00		
1.00		0.00		1.00		-0.20		0.00		0.70		0.50		0.00		1.00		
1.00		1.00		1.00		-0.10		0.00		0.80		0.70		1.00		0.00		
0.00		0.00		1.00		-0.20		-0.10		0.70		0.70		1.00		1.00		
0.00		1.00		1.00		-0.20		-0.10		0.70		0.60		1.00		1.00		
1.00		0.00		1.00		-0.20		-0.10		0.70		0.50		0.00		1.00		
1.00		1.00		1.00		-0.10		-0.10		0.80		0.60		1.00		0.00		
0.00		0.00		1.00		-0.20		-0.20		0.70		0.70		1.00		1.00		
0.00		1.00		1.00		-0.20		-0.20		0.70		0.50		0.00		1.00		
1.00		0.00		1.00		-0.20		-0.10		0.80		0.60		1.00		1.00		
1.00		1.00		1.00		-0.20		-0.10		0.80		0.50		0.00		0.00		
0.00		0.00		1.00		-0.20		-0.10		0.80		0.80		1.00		1.00		
0.00		1.00		1.00		-0.20		-0.10		0.80		0.70		1.00		1.00		
1.00		0.00		1.00		-0.20		-0.10		0.80		0.60		1.00		1.00		
1.00		1.00		1.00		-0.20		-0.10		0.80		0.50		0.00		0.00		
-0.2
